Team,Pool,G,W,L,RS,RA
South Florida Thunder Black 12U,A,0,0,0,0,0
Club 321 12U,A,0,0,0,0,0
Guest Player Connect 12U,A,0,0,0,0,0
Vero Nike RBI 12U,A,0,0,0,0,0
Delmarva Aces East 12U,B,0,0,0,0,0
CBU United Thomas 12U,B,0,0,0,0,0
Keystone State Bombers Blue 12U,B,0,0,0,0,0
Guatemala Hornets 12U,B,0,0,0,0,0
FS Prime Brookers 12U,C,0,0,0,0,0
Team GTS 11U/12U,C,0,0,0,0,0
Keystone State Bombers Fall25 12U,C,0,0,0,0,0
West Chester Dragons 12U NL,C,0,0,0,0,0
