Team,Pool,G,W,L,RS,RA
Delmarva Aces 12U East,,14,13,1,169,26
SFL THUNDER BLACK 12U,,27,22,5,218,95
West Chester Dragons 12U NL,,15,12,3,186,85
CBU United Thomas 12U,,28,20,8,221,123
Club 321-12u,,35,25,10,272,182
Keystone State Bombers 11U,,15,4,11,83,147
FS Prime Brookers 12U,,20,4,16,92,206
